category,ym,n,platform_n,share,month,seasonal_index,adj,roll_mean,roll_std,denom,z,shift,bad_rate
moveis_sala,2017-12,16,5624,0.002844950213371266,12,0.5873759750501151,0.004843490939731633,0.004763935048003315,0.000159111783456634,0.000159111783456634,0.5000000000000074,,0.1875
moveis_sala,2018-01,22,7220,0.0030470914127423824,1,1.361260768353627,0.00223843328448206,0.004843490939731633,0.0,0.000145304728191949,-17.928237351012186,,0.045454545454545456
moveis_sala,2018-02,19,6694,0.0028383627128772035,2,1.1865278092833476,0.0023921586082264264,0.00419222652591924,0.0013025288276247863,0.0013025288276247863,-1.3819793309107098,,0.21052631578947367
moveis_sala,2018-03,19,7188,0.0026432943795214247,3,0.9373662706411046,0.0028199162507880336,0.0035793934430429384,0.0014610025852268543,0.0014610025852268543,-0.5198328873161977,,0.3157894736842105
moveis_sala,2018-04,23,6934,0.003316988751081627,4,0.8173417044306124,0.004058264411446314,0.0030734997708070384,0.0012053678769164383,0.0012053678769164383,0.816982648615535,,0.34782608695652173
moveis_sala,2018-05,13,6853,0.0018969794250693127,5,1.0137808468134561,0.0018711928036833113,0.002877193138735709,0.0008249207316075323,0.0008249207316075323,-1.219511519721408,,0.15384615384615385
moveis_sala,2018-06,26,6160,0.0042207792207792205,6,0.820788427231334,0.005142347383011555,0.002785383018536021,0.0009330574777477161,0.0009330574777477161,2.5260655647548647,SURGE,0.038461538461538464
moveis_sala,2018-07,50,6273,0.007970667941973538,7,1.5250765629828422,0.005226405110038539,0.0034729302122323037,0.0014284676842276928,0.0014284676842276928,1.2275215723583268,,0.2
moveis_sala,2018-08,36,6452,0.005579665220086794,8,1.0809712960497602,0.005161714506644908,0.00407455242704493,0.0015622643396279784,0.0015622643396279784,0.6958886867115353,,0.19444444444444445
musica,2017-01,2,789,0.0025348542458808617,1,1.0,0.0025348542458808617,,0.0,,,,0.0
musica,2017-03,1,2641,0.0003786444528587656,3,1.0,0.0003786444528587656,,0.0,,,,0.0
musica,2017-04,2,2391,0.000836470096194061,4,1.0,0.000836470096194061,0.0014567493493698137,0.0015246705663067661,0.0015246705663067661,-0.4068283778037803,,0.0
musica,2017-06,4,3217,0.0012433944668946222,6,1.0,0.0012433944668946222,0.0012499895983112295,0.0011360277073445527,0.0011360277073445527,-0.005805431834073217,,0.25
musica,2017-07,1,3969,0.0002519526329050139,7,1.0,0.0002519526329050139,0.0012483408154570776,0.0009275686004330251,0.0009275686004330251,-1.0741935228153594,,0.0
musica,2017-10,1,4568,0.00021891418563922942,10,1.0,0.00021891418563922942,0.0006776154122131156,0.00045310528046821623,0.00045310528046821623,-1.012350211632686,,0.0
musica,2018-01,1,7220,0.00013850415512465375,1,1.0,0.00013850415512465375,0.0006376828454082316,0.0004934767561973458,0.0004934767561973458,-1.0115546153179942,,0.0
musica,2018-02,2,6694,0.00029877502240812666,2,1.0,0.00029877502240812666,0.00046319136014087985,0.0005223127437197558,0.0005223127437197558,-0.31478523108938333,,0.0
musica,2018-03,1,7188,0.0001391207568169171,3,1.0,0.0001391207568169171,0.00022703649901925594,6.750599320540126e-05,6.750599320540126e-05,-1.3023398075906625,,0.0
musica,2018-04,5,6934,0.0007210845111047015,4,1.0,0.0007210845111047015,0.00019882852999723172,7.658716883335878e-05,7.658716883335878e-05,6.819105459346772,,0.2
musica,2018-05,5,6853,0.0007296074711805049,5,1.0,0.0007296074711805049,0.0003243711113635997,0.0002750156968763545,0.0002750156968763545,1.4735026561014704,,0.2
musica,2018-06,3,6160,0.000487012987012987,6,1.0,0.000487012987012987,0.0004721469403775625,0.0002995664088413068,0.0002995664088413068,0.049625212295747415,,0.0
musica,2018-07,3,6273,0.00047824007651841227,7,1.0,0.00047824007651841227,0.0005192064315287776,0.0002772032313969612,0.0002772032313969612,-0.14778455072084126,,0.0
musica,2018-08,6,6452,0.0009299442033477991,8,1.0,0.0009299442033477991,0.0006039862614541514,0.00014022308222224038,0.00014022308222224038,2.32456694524112,,0.0
papelaria,2017-01,7,789,0.008871989860583017,1,1.4403204559365905,0.006159733289918367,,0.0,,,,0.0
papelaria,2017-02,19,1733,0.010963646855164455,2,0.7674388254914164,0.014286020580394888,,0.0,,,,0.10526315789473684
